[s]	[mv]	[s]	[mv]	[s]	[mv]	[s]	[mv]	[s]	[mv]		[s]	v	[s]	v	[s]	v	[s]	v	[s]	v
0.0074	-61.35	0.0074	-58.48	0.0074	-55.275	0.0074	-58.306	0.0074	-52.817		0.074	-1.8125	0.074	-1.8125	0.074	-1.8125	0.074	-1.8125	0.074	-1.8125
0.007500000000000001	-61.343	0.007500000000000001	-58.53	0.007500000000000001	-55.226	0.007500000000000001	-58.27	0.007500000000000001	-52.817		0.075	-1.8125	0.075	-1.8125	0.075	-1.8125	0.075	-1.8125	0.075	-1.8125
0.0076	-61.435	0.0076	-58.516	0.0076	-55.174	0.0076	-58.105	0.0076	-52.738		0.076	-1.8125	0.076	-1.8125	0.076	-1.8125	0.076	-1.8125	0.076	-1.8125
0.0077	-61.409	0.0077	-58.559	0.0077	-55.292	0.0077	-58.168	0.0077	-52.751		0.077	-1.8125	0.077	-1.8125	0.077	-1.8125	0.077	-1.8125	0.077	-1.8125
0.0078000000000000005	-61.422	0.0078000000000000005	-58.605	0.0078000000000000005	-55.282	0.0078000000000000005	-58.05	0.0078000000000000005	-52.83		0.078	-1.8125	0.078	-1.8125	0.078	-1.8125	0.078	-1.8125	0.078	-1.8125
0.0079	-61.406	0.0079	-58.556	0.0079	-55.308	0.0079	-58.069	0.0079	-52.833		0.079	-1.8125	0.079	-1.8125	0.079	-1.8125	0.079	-1.8125	0.079	-1.8125
0.008	-61.409	0.008	-58.533	0.008	-55.331	0.008	-58.096	0.008	-52.777		0.08	-1.8125	0.08	-1.8125	0.08	-1.8125	0.08	-1.8125	0.08	-1.8125
0.0081	-61.258	0.0081	-58.546	0.0081	-55.305	0.0081	-58.165	0.0081	-52.738		0.081	-1.8125	0.081	-1.8125	0.081	-1.8125	0.081	-1.8125	0.081	-1.8125
0.0082	-61.432	0.0082	-58.612	0.0082	-55.325	0.0082	-58.148	0.0082	-52.741		0.082	-1.8125	0.082	-1.8125	0.082	-1.8125	0.082	-1.8125	0.082	-1.8125
0.0083	-61.422	0.0083	-58.625	0.0083	-55.302	0.0083	-58.155	0.0083	-52.695		0.083	-1.8125	0.083	-1.8125	0.083	-1.8125	0.083	-1.8125	0.083	-1.8125
0.008400000000000001	-61.524	0.008400000000000001	-58.595	0.008400000000000001	-55.252	0.008400000000000001	-58.132	0.008400000000000001	-52.702		0.084	-1.8125	0.084	-1.8125	0.084	-1.8125	0.084	-1.8125	0.084	-1.8125
0.0085	-61.521	0.0085	-58.645	0.0085	-55.315	0.0085	-58.138	0.0085	-52.748		0.085	-1.8125	0.085	-1.8125	0.085	-1.8125	0.085	-1.8125	0.085	-1.8125
